Month,Income,Other income,Major Expense,Non-recurring Expense,Regular expense,EMI,Trips Expense,Net Expense,Ideal Saving,Actual Saving,Target,Corpus
April-2023,0,0,0,0,0,0,0,0,0,0,0,0
May-2023,0,0,0,0,0,0,0,0,0,0,0,0
June-2023,0,0,0,0,0,0,0,0,0,0,0,0
July-2023,0,0,0,0,0,0,0,0,0,0,0,0
August-2023,0,0,0,0,0,0,0,0,0,0,0,0
September-2023,0,0,0,0,0,0,0,0,0,0,0,0
October-2023,0,0,0,0,0,0,0,0,0,0,0,0
November-2023,0,0,0,0,0,0,0,0,0,0,0,0
December-2023,0,0,0,0,0,0,0,0,0,0,0,0
January-2024,0,0,0,0,0,0,0,0,0,0,0,0
February-2024,0,0,0,0,0,0,0,0,0,0,0,0
March-2024,0,0,0,0,0,0,0,0,0,0,0,0
April-2024,0,0,0,0,0,0,0,0,0,0,0,0
May-2024,0,0,0,0,0,0,0,0,0,0,0,0
June-2024,0,0,0,0,0,0,0,0,0,0,0,0
July-2024,0,0,0,0,0,0,0,0,0,0,0,0
August-2024,0,0,0,0,0,0,0,0,0,0,0,0
September-2024,0,0,0,0,0,0,0,0,0,0,0,0
October-2024,0,0,0,0,0,0,0,0,0,0,0,0
November-2024,0,0,0,0,0,0,0,0,0,0,0,0
December-2024,0,0,0,0,0,0,0,0,0,0,0,0
January-2025,0,0,0,0,0,0,0,0,0,0,0,0
February-2025,0,0,0,0,0,0,0,0,0,0,0,0
March-2025,0,0,0,0,0,0,0,0,0,0,0,0
April-2025,0,0,0,0,0,0,0,0,0,0,0,0
May-2025,0,0,0,0,0,0,0,0,0,0,0,0
June-2025,220000,0,200000,0,83500,0,22000,305500,-85500,0,0,0
July-2025,220000,0,0,0,83500,63000,20000,166500,53500,-32000,0,0
August-2025,220000,88000,106000,31000,83500,63000,34000,317500,-9500,0,0,0
September-2025,220000,0,0,0,83500,63000,25000,171500,48500,50000,0,0
October-2025,220000,5000,0,0,83500,63000,0,151500,73500,80000,0,0
